postal_code,kode_wilayah_concat,kode_provinsi,kode_kota_kabupaten,kode_kecamatan,kode_kelurahan
42166,3604302007,36,4,30,2007
42416,3672051001,36,72,5,1001
42355,3602092002,36,2,9,2002
42165,3604322007,36,4,32,2007
15113,3671071009,36,71,7,1009
42396,3602212011,36,2,21,2011
42273,3601232005,36,1,23,2005
42355,3602092020,36,2,9,2020
15610,3603012016,36,3,1,2016
15144,3671111006,36,71,11,1006
42263,3601162007,36,1,16,2007
42437,3672071004,36,72,7,1004
42270,3601182005,36,1,18,2005
42161,3604052013,36,4,5,2013
42262,3601132013,36,1,13,2013
42173,3604222013,36,4,22,2013
42382,3602132021,36,2,13,2021
42171,3673041004,36,73,4,1004
42168,3604292009,36,4,29,2009
15621,3603062011,36,3,6,2011
15560,3603122013,36,3,12,2013
42453,3604062007,36,4,6,2007
15510,3603132002,36,3,13,2002
15136,3671021002,36,71,2,1002
42398,3602202004,36,2,20,2004
15561,3603292005,36,3,29,2005
42356,3602172006,36,2,17,2006
15142,3671111007,36,71,11,1007
42272,3601152002,36,1,15,2002
15810,3603172004,36,3,17,2004
15413,3674041004,36,74,4,1004
42251,3601222008,36,1,22,2008
45562,3208172010,32,8,17,2010
15117,3671011005,36,71,1,1005
15344,3603232011,36,3,23,2011
42273,3601232001,36,1,23,2001
42182,3604092015,36,4,9,2015
42183,3673031012,36,73,3,1012
42357,3602182004,36,2,18,2004
42213,3601251014,36,1,25,1014
42164,3604272007,36,4,27,2007
42382,3602132007,36,2,13,2007
15330,3603222011,36,3,22,2011
42183,3673031007,36,73,3,1007
42311,3602141007,36,2,14,1007
15418,3674061005,36,74,6,1005
15133,3671021006,36,71,2,1006
42260,3601122012,36,1,12,2012
42357,3602182005,36,2,18,2005
42116,3673011010,36,73,1,1010
42395,3602282008,36,2,28,2008
42354,3602082009,36,2,8,2009
42263,3601162001,36,1,16,2001
42279,3601302008,36,1,30,2008
42453,3604062003,36,4,6,2003
42283,3601012006,36,1,1,2006
42186,3604152012,36,4,15,2012
15610,3603012003,36,3,1,2003
15127,3671101003,36,71,10,1003
42282,3601052005,36,1,5,2005
42250,3601332011,36,1,33,2011
42261,3601172015,36,1,17,2015
42277,3601072003,36,1,7,2003
15113,3671071013,36,71,7,1013
15720,3603042008,36,3,4,2008
42365,3602272001,36,2,27,2001
42262,3601132012,36,1,13,2012
15610,3603012014,36,3,1,2014
42283,3601012003,36,1,1,2003
15128,3671101007,36,71,10,1007
42382,3602132009,36,2,13,2009
42381,3602232007,36,2,23,2007
15710,3603182005,36,3,18,2005
15224,3674031005,36,74,3,1005
15811,3603281003,36,3,28,1003
42270,3601182002,36,1,18,2002
15153,3671061008,36,71,6,1008
42365,3602272007,36,2,27,2007
15721,3603032012,36,3,3,2012
42182,3604092013,36,4,9,2013
15621,3603062018,36,3,6,2018
42361,3602112002,36,2,11,2002
42262,3601132016,36,1,13,2016
42271,3601262004,36,1,26,2004
42186,3604152006,36,4,15,2006
42382,3602132012,36,2,13,2012
15111,3671011002,36,71,1,1002
15560,3603122001,36,3,12,2001
42392,3602262008,36,2,26,2008
42372,3602042015,36,2,4,2015
15336,3603222002,36,3,22,2002
42275,3601082002,36,1,8,2002
42267,3601292002,36,1,29,2002
42193,3604132001,36,4,13,2001
42163,3604282009,36,4,28,2009
42171,3673041007,36,73,4,1007
42161,3604052010,36,4,5,2010
42161,3604052007,36,4,5,2007
42254,3601322006,36,1,32,2006
15621,3603062015,36,3,6,2015
42414,3672051003,36,72,5,1003
42260,3601122002,36,1,12,2002
42266,3601242015,36,1,24,2015
42317,3602141006,36,2,14,1006
42355,3602092001,36,2,9,2001
42371,3602122010,36,2,12,2010
42172,3604192001,36,4,19,2001
42277,3601072010,36,1,7,2010
42181,3604352010,36,4,35,2010
42355,3602092007,36,2,9,2007
42277,3601072006,36,1,7,2006
15330,3603222008,36,3,22,2008
15326,3674021005,36,74,2,1005
42382,3602132023,36,2,13,2023
42176,3604342008,36,4,34,2008
42390,3602022002,36,2,2,2002
42270,3601182006,36,1,18,2006
42392,3602262005,36,2,26,2005
42353,3602102003,36,2,10,2003
15118,3671011008,36,71,1,1008
42261,3601172014,36,1,17,2014
42281,3601062012,36,1,6,2012
42356,3602172007,36,2,17,2007
42395,3602282005,36,2,28,2005
